IMG Number,STOP_TIME,MINIMUM_LATITUDE,MAXIMUM_LATITUDE,WESTERNMOST_LONGITUDE,EASTERNMOST_LONGITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE
IMG_RDR_2017032T194857_V02,2017-02-0119:48:54.689,-39.4742,9.4965,93.7752,236.2209,266614.2857,266614.2857
IMG_RDR_2017032T194927_V02,2017-02-0119:49:25.162,-39.5906,9.8903,93.9033,236.9981,266519.0543,266519.0543
IMG_RDR_2017032T194957_V02,2017-02-0119:49:55.634,-39.6323,10.094,93.7398,236.3365,266423.8085,266423.8085
IMG_RDR_2017032T195028_V02,2017-02-0119:50:26.106,-39.1099,10.2822,93.285,236.0241,266328.545,266328.545
IMG_RDR_2017032T195058_V02,2017-02-0119:50:56.578,-38.4573,10.4733,93.3483,236.5803,266233.2639,266233.2639
IMG_RDR_2017032T195129_V02,2017-02-0119:51:27.049,-38.0096,10.6729,92.9521,235.4981,266137.9652,266137.9652
IMG_RDR_2017032T195159_V02,2017-02-0119:51:57.521,-37.569,10.877,92.5797,234.585,266042.6487,266042.6487
IMG_RDR_2017032T195230_V02,2017-02-0119:52:27.993,-37.7245,11.08,91.627,234.3884,265947.3147,265947.3147
IMG_RDR_2017032T195300_V02,2017-02-0119:52:58.465,-37.6785,11.281,91.6695,233.9639,265851.9629,265851.9629
IMG_RDR_2017032T195331_V02,2017-02-0119:53:28.937,-37.91,11.4787,91.4234,233.474,265756.5934,265756.5934
IMG_RDR_2017032T195401_V02,2017-02-0119:53:59.409,-37.3479,11.6644,91.3404,233.5426,265661.2063,265661.2063
IMG_RDR_2017032T195432_V02,2017-02-0119:54:29.881,-37.5645,11.8621,91.0345,232.9683,265565.8014,265565.8014
IMG_RDR_2017032T195502_V02,2017-02-0119:55:00.354,-36.6791,12.2527,90.1149,232.7816,265470.3756,265470.3756
IMG_RDR_2017032T195533_V02,2017-02-0119:55:30.825,-36.2642,12.2731,90.7265,232.0153,265374.9384,265374.9384
IMG_RDR_2017032T195603_V02,2017-02-0119:56:01.298,-35.9378,12.6551,90.0268,232.2128,265279.4772,265279.4772
IMG_RDR_2017032T195634_V02,2017-02-0119:56:31.769,-35.7748,12.6565,90.0745,231.302,265184.0045,265184.0045
IMG_RDR_2017032T195704_V02,2017-02-0119:57:02.242,-35.5988,13.0323,90.0021,231.8702,265088.5077,265088.5077
IMG_RDR_2017032T195735_V02,2017-02-0119:57:32.713,-35.3143,13.037,88.5562,230.819,264992.9994,264992.9994
IMG_RDR_2017032T195805_V02,2017-02-0119:58:03.186,-35.4629,13.4202,89.3345,230.6543,264897.4671,264897.4671
IMG_RDR_2017032T195835_V02,2017-02-0119:58:33.657,-34.8184,13.437,88.487,231.548,264801.9232,264801.9232
IMG_RDR_2017032T195906_V02,2017-02-0119:59:04.130,-34.7566,13.8214,87.9691,229.9195,264706.3552,264706.3552
IMG_RDR_2017032T195936_V02,2017-02-0119:59:34.601,-34.4263,13.83,88.3542,230.5467,264610.7757,264610.7757
IMG_RDR_2017032T200007_V02,2017-02-0120:00:05.074,-32.7525,14.1969,87.5895,229.5463,264515.1721,264515.1721
IMG_RDR_2017032T200037_V02,2017-02-0120:00:35.546,-32.8761,14.3857,87.7603,229.5474,264419.5537,264419.5537
IMG_RDR_2017032T200108_V02,2017-02-0120:01:06.018,-32.6461,14.5875,87.4561,228.7095,264323.9175,264323.9175
IMG_RDR_2017032T200138_V02,2017-02-0120:01:36.490,-32.3728,14.7939,86.3091,228.0797,264228.2635,264228.2635
IMG_RDR_2017032T200209_V02,2017-02-0120:02:06.962,-32.0265,14.9902,86.6353,227.8952,264132.5915,264132.5915
IMG_RDR_2017032T200239_V02,2017-02-0120:02:37.434,-31.9452,15.1814,86.0236,229.1531,264036.9017,264036.9017
IMG_RDR_2017032T200310_V02,2017-02-0120:03:07.906,-31.7159,15.4095,85.4369,227.5478,263941.1939,263941.1939
IMG_RDR_2017032T212859_V02,2017-02-0121:28:57.445,-38.3441,9.2901,37.9118,172.7154,247500.4182,247500.4182
IMG_RDR_2017032T212930_V02,2017-02-0121:29:27.918,-39.0458,9.6655,37.5524,172.4595,247401.4887,247401.4887
IMG_RDR_2017032T213000_V02,2017-02-0121:29:58.389,-37.8376,9.7109,37.0626,171.2288,247302.5457,247302.5457
IMG_RDR_2017032T213031_V02,2017-02-0121:30:28.861,-37.9827,9.9349,36.174,171.2929,247203.5793,247203.5793
IMG_RDR_2017032T213101_V02,2017-02-0121:30:59.333,-37.6188,10.1392,36.6636,170.9594,247104.5929,247104.5929
IMG_RDR_2017032T213132_V02,2017-02-0121:31:29.805,-37.3346,10.3413,36.9249,170.6027,247005.5865,247005.5865
IMG_RDR_2017032T213202_V02,2017-02-0121:32:00.277,-36.6395,10.5393,35.4912,170.761,246906.5599,246906.5599
IMG_RDR_2017032T213233_V02,2017-02-0121:32:30.749,-36.3409,10.7346,35.6307,170.7655,246807.5132,246807.5132
IMG_RDR_2017032T213303_V02,2017-02-0121:33:01.221,-35.7117,10.926,35.6917,169.9993,246708.4464,246708.4464
IMG_RDR_2017032T213334_V02,2017-02-0121:33:31.693,-36.4397,11.1195,35.442,169.5326,246609.3595,246609.3595
IMG_RDR_2017032T213404_V02,2017-02-0121:34:02.165,-36.0617,11.3198,34.1888,170.3538,246510.2525,246510.2525
IMG_RDR_2017032T213434_V02,2017-02-0121:34:32.637,-36.2807,11.517,34.3559,169.0545,246411.1253,246411.1253
